context	label
If we had to encode it in our brains note by note, we’d struggle to make sense of anything more complex than the simplest children’s songs.	1
Instead, the subjects were found to have chosen the same level of perceived effort on the treadmill, the bike, and the stair climber.	1
When the egg of the thief hatches, it kills the host’s offspring and then eats the pollen meant for its victim. 	1
When considered in this light, the visual preoccupation of early humans with the nonhuman creatures inhabited their world becomes profoundly meaningful. 	0
For every toxic substance, process, or product in use today, there is a safer alternative ― either already in existence, or waiting to be discovered through the application of human intellect, ingenuity, and effort. 	1
Baseball games do have all day to be played. But that does not mean that they can go on forever.	1
If we reason that Paula is afraid either of snakes or spiders, and then establish that she is not afraid of snakes, we will conclude that Paula is afraid of spiders. 	1
The representatives for each ward in the capital would have to be resistant to citizens organized in this way.	0
This is the main motive for gossiping about well-known figures and superiors.	1
The chemical industry denied that there were practical alternatives to ozone-depleting chemicals, predicting not only economic disaster but numerous deaths because food and vaccines would spoil without refrigeration.	1
One common example of this is that people on a diet who try not to think about food often begin to think much more about food.	1
And as far as lovers of art are concerned, they do not look at the movies for imitations of nature but for art. 	1
They do not worship youth.	1
Behavioral economists ― the economists who actually study what people do as opposed to the kind who simply assume the human mind works like a calculator ― have shown again and again that people reject unfair offers even if it costs them money to do so. 	1
Many modern structures exceed those of Egypt in terms of purely physical size. 	1
The partner only has two options. He can take what’s offered or refused to take anything. 	0
As athletes move up the competitive ladder, they become more homogeneous in terms of physical skills. 	1
Starvation can be of practical or instrumental value, even as it is an intrinsic disvalue.	1
She then has the opportunity to offer some amount of it to her partner. 	1
Then the next time we hear it, we hear a lyric we didn’t catch the first time, or we might notice what the piano or drums are doing in the background.	1
But distrust of one who is sincere in her efforts to be a trustworthy and dependable person can be disorienting and might cause her to doubt her own perceptions and to distrust herself.	1
In such institutions it is difficult for the staff to retain optimism when all the patients are declining in health.	1
Their bodies are structurally adapted for moving fast through the water.	1
To begin with a psychological reason, the knowledge of another’s personal affairs can tempt the possessor of this information to repeat it as gossip because as unrevealed information it remains socially inactive.	1
Consequently, any small difference in physical factors can play a huge role in determining performance outcomes.	0
As a result, they shy away from MST, denying that because they are not coaching elite athletes, mental skills training is less important. 	0
The fact that there might be someone somewhere in the same building or district who may be more successful at teaching this or that subject or lesson is based on teachers who close the door and work their way through the school calendar virtually alone.	0
Before denying that the remaining explanation is the correct one, consider whether other plausible options are being ignored or overlooked. 	0
There’s no room for negotiation; that’s why it’s called the ultimatum game. 	1
They are satisfied with grasping the meaning of what they see. 	1
The emphasis on superiority is what we typically see as fostering a detrimental effect of competition.	1
This overstated, often fictionalized version of nature is no more real ― and yet no less real ― to them than the everyday nature right outside their doors, waits to be discovered in a child’s way, at a child’s pace. 	0
The reindeer, however, had a weakness that mankind would mercilessly exploit: it swam poorly. 	1
Similarly, if you found a dead bird or mosquito, you could guess by looking at its wings that flying was its normal mode of transport.	1
Psychologists who study giving behavior have noticed that some people give substantial amounts to one or two charities, while others give small amounts to many charities.	1
The fact that there might be someone somewhere in the same building or district who may be more successful at teaching this or that subject or lesson is lost on teachers who close the door and work their way through the school calendar virtually alone.	1
As a result, they shy away from MST, rationalizing that because they are not coaching elite athletes, mental skills training is less important. 	1
The provision of timely, constructive feedback to participants on performance is an asset that some competitions and contests offer.	1
The dual expressions of this tendency are anthropomorphism (the practice of regarding animals as humans) and totemism (the practice of regarding humans as animals), both of which spread through the visual art and the mythology of primitive cultures. 	1
For higher organisms, the most significant changes in the environment are those produced by the contemporaneous evolution of other organisms.	1
These thieving bees sneak into the nest of an unsuspecting “normal” bee (known as the host), lay an egg near the pollen mass being gathered by the host bee for her own offspring, and then sneak back out. 	1
“Monumental” is a word that comes very close to expressing the basic characteristic of Egyptian art. 	1
Sometimes the awareness that one is distrusted can provide the necessary incentive for self-reflection.	1
With that kind of involvement, the republic might survive and prosper.	1
During its first half century, games were not played at night, which meant that baseball games, like the traditional work day, ended when the sun set.	1
Behavioral economists ― the economists who actually study what people do as opposed to the kind who simply assume the human mind works like a calculator ― have shown again and again that people reject unfair offers even if it costs them money to do so. 	1
It is no accident that fish have bodies which are streamlined and smooth, with fins and a powerful tail.	1
The researchers expected to find that the subjects unconsciously targeted the same relative physiological intensity in each activity.	1
The best competitions promote excellence, not just winning or “beating” others.	1
However, our conclusion is reasonable only if Paula’s fear really does concern either snakes or spiders. 	1
The evolution of a horse’s hoof from a five-toed foot has enabled the horse to gallop rapidly over open plains.	1
The independent self may be more 3 driven to cope by appealing to a sense of agency or control.	1
Direct involvement of citizens was what had made the American Revolution possible and given the new republic vitality and hope for the future. 	1
The typical experiment uses a task called the ultimatum game. It’s pretty straightforward. 	1
Rather incredibly, one archaeologist employed by a treasure hunting firm said that as long as archaeologists are given six months to study shipwrecked artifacts before they are sold, no historical knowledge is found!	0
The reason for this is not the external size and massiveness of their works, although the Egyptians admittedly achieved some amazing things in this respect. 	1
